targetId,diseaseId,score
ENSG00000155511,MONDO_0000509,0.0
ENSG00000155657,HP_0002269,0.0
ENSG00000155657,MONDO_0009709,0.0
ENSG00000155816,EFO_0003847,0.0
ENSG00000155816,HP_0001249,0.0
ENSG00000155816,HP_0012759,0.0
ENSG00000155966,EFO_0003847,0.0
ENSG00000155966,HP_0001249,0.0
ENSG00000155974,EFO_0003847,0.0
ENSG00000155974,HP_0001249,0.0
ENSG00000156113,Orphanet_364063,0.0
ENSG00000156510,HP_0001657,0.0
ENSG00000156603,EFO_0003847,0.0
ENSG00000156603,HP_0001249,0.0
ENSG00000156650,Orphanet_183763,0.0
ENSG00000157388,EFO_0003847,0.0
ENSG00000157388,HP_0001249,0.0
ENSG00000158169,Orphanet_329235,0.0
ENSG00000158321,HP_0001249,0.0
ENSG00000159197,EFO_0000275,0.0
ENSG00000159197,EFO_0005138,0.0
ENSG00000159197,Orphanet_101016,0.0
ENSG00000159423,EFO_0003847,0.0
ENSG00000159423,HP_0001249,0.0
ENSG00000159640,MONDO_0033947,0.0
ENSG00000159640,Orphanet_100054,0.0
ENSG00000159640,Orphanet_91378,0.0
ENSG00000160211,Orphanet_391330,0.0
ENSG00000160282,EFO_0003847,0.0
ENSG00000160282,HP_0001249,0.0
ENSG00000160703,HP_0001657,0.0
ENSG00000160716,EFO_0003847,0.0
ENSG00000160716,HP_0001249,0.0
ENSG00000160883,HP_0001657,0.0
ENSG00000162105,MONDO_0005090,0.0
ENSG00000162337,EFO_0003086,0.0
ENSG00000162337,Orphanet_2924,0.0
ENSG00000162415,EFO_0002950,0.0
ENSG00000162551,HP_0002148,0.0
ENSG00000162687,HP_0012758,0.0
ENSG00000162771,Orphanet_570,0.0
ENSG00000162849,EFO_0000668,0.0
ENSG00000163029,Orphanet_140162,0.0
ENSG00000163322,Orphanet_140162,0.0
ENSG00000163513,EFO_0004282,0.0
ENSG00000163513,Orphanet_229,0.0
ENSG00000163635,HP_0002269,0.0
ENSG00000163935,EFO_0000668,0.0
ENSG00000163935,EFO_0002950,0.0
ENSG00000163935,HP_0001520,0.0
ENSG00000164099,HP_0001657,0.0
ENSG00000164307,HP_0001657,0.0
ENSG00000164362,EFO_0000305,0.0
ENSG00000164362,MONDO_0007254,0.0
ENSG00000164941,HP_0001657,0.0
ENSG00000165025,HP_0001657,0.0
ENSG00000165078,EFO_0003847,0.0
ENSG00000165078,HP_0001249,0.0
ENSG00000165240,EFO_0003847,0.0
ENSG00000165240,HP_0001249,0.0
ENSG00000165288,HP_0001249,0.0
ENSG00000165392,EFO_0000305,0.0
ENSG00000165392,MONDO_0007254,0.0
ENSG00000165671,EFO_0003847,0.0
ENSG00000165671,HP_0001249,0.0
ENSG00000165684,HP_0001657,0.0
ENSG00000165699,EFO_0000305,0.0
ENSG00000165699,EFO_0003756,0.0
ENSG00000165699,MONDO_0004986,0.0
ENSG00000165699,MONDO_0007254,0.0
ENSG00000165995,Orphanet_228140,0.0
ENSG00000166123,EFO_0003847,0.0
ENSG00000166123,HP_0001249,0.0
ENSG00000166323,EFO_0000305,0.0
ENSG00000166323,EFO_0000365,0.0
ENSG00000166323,MONDO_0007254,0.0
ENSG00000166432,HP_0002269,0.0
ENSG00000166473,HP_0001657,0.0
ENSG00000166813,EFO_0003847,0.0
ENSG00000166813,HP_0001249,0.0
ENSG00000166813,Orphanet_655,0.0
ENSG00000166847,Orphanet_227535,0.0
ENSG00000167286,Orphanet_35078,0.0
ENSG00000167548,EFO_0003847,0.0
ENSG00000167548,HP_0001249,0.0
ENSG00000167552,Orphanet_35981,0.0
ENSG00000167768,MONDO_0033947,0.0
ENSG00000167768,Orphanet_100054,0.0
ENSG00000167768,Orphanet_91378,0.0
ENSG00000167880,HP_0002269,0.0
ENSG00000167978,HP_0012759,0.0
ENSG00000168124,Orphanet_388,0.0
ENSG00000168214,MONDO_0005148,0.0
ENSG00000168267,MONDO_0005148,0.0
ENSG00000168398,MONDO_0033947,0.0
ENSG00000168398,Orphanet_100054,0.0
ENSG00000168398,Orphanet_91378,0.0
ENSG00000168542,HP_0002269,0.0
ENSG00000168702,EFO_0000668,0.0
ENSG00000168959,EFO_0002950,0.0
ENSG00000169184,HP_0012759,0.0
ENSG00000169379,HP_0001657,0.0
ENSG00000169562,Orphanet_90103,0.0
ENSG00000169618,HP_0001657,0.0
ENSG00000169621,HP_0001657,0.0
ENSG00000169919,EFO_0003847,0.0
ENSG00000169919,HP_0001249,0.0
ENSG00000169933,HP_0001249,0.0
ENSG00000169946,Orphanet_325118,0.0
ENSG00000170255,EFO_0004593,0.0
ENSG00000170266,EFO_0003847,0.0
ENSG00000170266,HP_0001249,0.0
